Date,Open,High,Low,Close,AdjustedClose,Volume
2017-06-06,76.95,77.905,76.89,77.225,73.214,212999200
2017-06-07,77.51,77.99,77.24,77.685,73.65,168556800
2017-06-08,77.625,77.77,77.2,77.495,73.47,170006400
2017-06-09,77.595,77.595,73.01,74.49,70.621,519061600
2017-06-12,72.87,73.045,71.255,72.71,68.933,578458400
2017-06-13,73.58,73.725,72.575,73.295,69.488,273323200
2017-06-14,73.75,73.75,71.92,72.58,68.81,252249600
2017-06-15,71.66,72.24,71.105,72.145,68.398,257323200
2017-06-16,71.89,72.25,71.1,71.135,67.44,402888800
2017-06-19,71.83,73.37,71.83,73.17,69.369,260331200
2017-06-20,73.435,73.435,72.47,72.505,68.739,199200800
2017-06-21,72.76,73.035,72.305,72.935,69.147,170126400
2017-06-22,72.885,73.35,72.56,72.815,69.033,152850400
2017-06-23,72.565,73.58,72.555,73.14,69.341,283515200
2017-06-26,73.585,74.14,72.69,72.91,69.123,205539200
2017-06-27,72.505,73.08,71.81,71.865,68.132,198095200
2017-06-28,72.245,73.055,71.58,72.915,69.128,176659200
2017-06-29,72.355,72.565,71.14,71.84,68.108,251995200
2017-06-30,72.225,72.48,71.89,72.01,68.27,184192800
2017-07-03,72.44,72.65,71.55,71.75,68.023,114222400
2017-07-05,71.845,72.395,71.36,72.045,68.303,172556800
2017-07-06,71.51,71.75,71.205,71.365,67.658,193030400
2017-07-07,71.45,72.375,71.45,72.09,68.345,153613600
2017-07-10,72.055,72.975,71.685,72.53,68.763,168724800
2017-07-11,72.365,72.925,72.19,72.765,68.985,158254400
2017-07-12,72.935,73.09,72.41,72.87,69.085,199076000
2017-07-13,72.75,74.245,72.72,73.885,70.047,201595200
2017-07-14,73.985,74.665,73.665,74.52,70.649,161056800
2017-07-17,74.41,75.45,74.285,74.78,70.896,190348000
2017-07-18,74.6,75.065,74.335,75.04,71.142,142950400
2017-07-19,75.24,75.71,74.975,75.51,71.588,167384000
2017-07-20,75.75,75.87,75.095,75.17,71.265,137949600
2017-07-21,74.995,75.22,74.44,75.135,71.232,210020800
2017-07-24,75.29,76.22,74.95,76.045,72.095,171945600
2017-07-25,75.9,76.92,75.9,76.37,72.403,150831200
2017-07-26,76.675,76.965,76.53,76.73,72.744,126248000
2017-07-27,76.875,76.995,73.65,75.28,71.37,259810400
2017-07-28,74.945,75.115,74.595,74.75,70.867,137709600
2017-07-31,74.95,75.165,74.065,74.365,70.502,158767200
2017-08-01,74.55,75.11,74.205,75.025,71.128,282948800
2017-08-02,79.64,79.875,78.08,78.57,74.489,559494400
2017-08-03,78.525,78.605,77.51,77.785,73.745,216778400
2017-08-04,78.035,78.7,77.845,78.195,74.133,164479200
2017-08-07,78.53,79.46,78.335,79.405,75.28,174962400
2017-08-08,79.3,80.915,79.135,80.04,75.882,289647200
2017-08-09,79.63,80.635,79.555,80.53,76.347,209052000
2017-08-10,79.95,80.0,77.315,77.66,73.915,326434400
2017-08-11,78.3,79.285,78.035,78.74,74.943,210056800
2017-08-14,79.66,80.105,79.375,79.925,76.071,176981600
2017-08-15,80.33,81.1,80.07,80.8,76.904,235724000
2017-08-16,80.97,81.255,80.075,80.475,76.594,221372800
2017-08-17,80.26,80.355,78.92,78.93,75.124,223524800
2017-08-18,78.93,79.75,78.36,78.75,74.953,219424800
2017-08-21,78.75,78.945,77.555,78.605,74.815,210948000
2017-08-22,79.115,80.0,79.01,79.89,76.038,172836800
2017-08-23,79.535,80.235,79.44,79.99,76.133,155192800
2017-08-24,80.215,80.37,79.275,79.635,75.795,158551200
2017-08-25,79.825,80.28,79.635,79.93,76.076,203840800
2017-08-28,80.07,81.0,79.965,80.735,76.842,207728000
2017-08-29,80.05,81.56,80.0,81.455,77.527,236135200
2017-08-30,81.9,81.945,81.305,81.675,77.737,218156800
2017-08-31,81.82,82.26,81.74,82.0,78.046,214280800
2017-09-01,82.4,82.47,81.815,82.025,78.07,132728800
2017-09-05,81.875,82.125,80.28,81.04,77.132,235748000
2017-09-06,81.355,81.495,80.26,80.955,77.051,173213600
2017-09-07,81.045,81.12,80.18,80.63,76.742,175428000
2017-09-08,80.43,80.575,79.265,79.315,75.49,228892000
2017-09-11,80.25,81.025,79.945,80.75,76.856,252646400
2017-09-12,81.305,81.98,79.385,80.43,76.552,573712000
2017-09-13,79.935,79.98,78.955,79.825,75.976,359259200
2017-09-14,79.495,79.7,79.045,79.14,75.324,190085600
2017-09-15,79.235,80.485,79.0,79.94,76.085,392916800
2017-09-18,80.055,80.25,79.0,79.335,75.509,226155200
2017-09-19,79.755,79.885,79.22,79.365,75.538,166484800
2017-09-20,78.95,79.13,76.915,78.035,74.272,423611200
2017-09-21,77.9,77.9,76.375,76.695,72.997,300093600
2017-09-22,75.77,76.135,75.28,75.945,72.283,373163200
2017-09-25,74.995,75.915,74.58,75.275,71.645,355098400
2017-09-26,75.89,76.96,75.845,76.57,72.878,293280000
2017-09-27,76.9,77.36,76.77,77.115,73.397,204033600
2017-09-28,76.945,77.14,76.35,76.64,72.944,176044000
2017-09-29,76.605,77.065,76.0,77.06,73.344,210398400
2017-10-02,77.13,77.225,76.36,76.905,73.197,149590400
2017-10-03,77.005,77.545,76.955,77.24,73.515,129842400
2017-10-04,76.815,76.93,76.23,76.74,73.04,161310400
2017-10-05,77.09,77.72,77.025,77.695,73.949,170270400
2017-10-06,77.485,77.745,77.28,77.65,73.906,139260800
2017-10-09,77.905,78.365,77.745,77.92,74.163,130103200
2017-10-10,78.03,79.0,77.55,77.95,74.191,124936000
2017-10-11,77.985,78.49,77.875,78.275,74.501,135244800
2017-10-12,78.175,78.685,77.865,78.0,74.239,129000800
2017-10-13,78.365,78.64,78.205,78.495,74.71,131153600
2017-10-16,78.95,80.0,78.825,79.94,76.085,192972000
2017-10-17,79.89,80.435,79.615,80.235,76.366,151978400
2017-10-18,80.21,80.355,79.8,79.88,76.028,130993600
2017-10-19,78.375,78.54,77.51,77.99,74.229,340673600
2017-10-20,78.305,78.875,77.98,78.125,74.358,191792800
2017-10-23,78.445,78.845,77.75,78.085,74.32,175874400
2017-10-24,78.145,78.71,78.1,78.55,74.762,142057600
2017-10-25,78.455,78.775,77.635,78.205,74.434,169656800
2017-10-26,78.615,78.915,78.39,78.705,74.91,136004000
2017-10-27,79.645,81.8,79.35,81.525,77.594,355633600
2017-10-30,81.945,84.035,81.86,83.36,79.34,357606400
2017-10-31,83.95,84.825,83.47,84.52,80.444,288374400
2017-11-01,84.935,84.97,82.805,83.445,79.421,269102400
2017-11-02,83.3,84.25,82.64,84.055,80.002,331147200
2017-11-03,87.0,87.13,85.56,86.25,82.091,475188800
2017-11-06,86.185,87.495,85.86,87.125,82.924,280210400
2017-11-07,86.955,87.625,86.8,87.405,83.19,194892000
2017-11-08,87.33,88.12,87.165,88.12,83.871,195276000
2017-11-09,87.555,88.05,86.57,87.94,83.7,235860800
2017-11-10,87.555,87.69,87.135,87.335,83.423,201164000
2017-11-13,86.75,87.25,86.7,86.985,83.088,135856800
2017-11-14,86.52,86.74,85.59,85.67,81.832,198260000
2017-11-15,84.985,85.16,84.19,84.54,80.753,233264800
2017-11-16,85.59,85.935,85.15,85.55,81.717,189100000
2017-11-17,85.52,85.695,84.82,85.075,81.264,175196000
2017-11-20,85.145,85.28,84.78,84.99,81.183,130099200
2017-11-21,85.39,86.85,85.39,86.57,82.692,201050400
2017-11-22,86.68,87.5,86.525,87.48,83.561,204711200
2017-11-24,87.55,87.75,87.325,87.485,83.566,112213600
2017-11-27,87.525,87.54,86.67,87.045,83.146,165734400
2017-11-28,87.15,87.435,85.93,86.535,82.658,211430400
2017-11-29,86.315,86.46,83.58,84.74,80.944,333331200
2017-11-30,85.215,86.07,84.22,85.925,82.076,332217600
2017-12-01,84.975,85.835,84.25,85.525,81.694,318074400
2017-12-04,86.24,86.31,84.815,84.9,81.097,260339200
2017-12-05,84.53,85.76,84.2,84.82,81.02,218801600
2017-12-06,83.75,85.1,83.23,84.505,80.719,228480000
2017-12-07,84.515,85.22,84.455,84.66,80.867,205386400
2017-12-08,85.245,85.5,84.41,84.685,80.891,186841600
2017-12-11,84.6,86.445,84.395,86.335,82.467,282190400
2017-12-12,86.075,86.195,85.73,85.85,82.004,155273600
2017-12-13,86.25,86.77,86.0,86.135,82.276,190547200
2017-12-14,86.2,86.565,85.825,86.11,82.252,163812000
2017-12-15,86.815,87.085,86.23,86.985,83.088,321354400
2017-12-18,87.44,88.6,87.43,88.21,84.258,235368800
2017-12-19,87.515,87.695,87.045,87.27,83.36,219491200
2017-12-20,87.435,87.71,86.625,87.175,83.27,187804800
2017-12-21,87.085,88.01,87.05,87.505,83.585,167599200
2017-12-22,87.34,87.71,87.25,87.505,83.585,130795200
2017-12-26,85.4,85.735,84.84,85.285,81.464,265484000
2017-12-27,85.05,85.39,84.855,85.3,81.479,171985600
2017-12-28,85.5,85.925,85.24,85.54,81.708,131841600
2017-12-29,85.26,85.295,84.61,84.615,80.824,207999200
2018-01-02,85.08,86.15,84.63,86.13,82.272,204447200
2018-01-03,86.265,87.275,85.98,86.115,82.257,236143200
2018-01-04,86.27,86.735,86.04,86.515,82.639,179476800
2018-01-05,86.72,87.685,86.525,87.5,83.58,189280000
2018-01-08,87.175,87.805,86.965,87.175,83.27,164542400
2018-01-09,87.275,87.53,86.705,87.165,83.26,172672000
2018-01-10,86.58,87.15,86.5,87.145,83.241,191679200
2018-01-11,87.295,87.745,87.245,87.64,83.714,149341600
2018-01-12,88.09,88.68,87.825,88.545,84.578,203344800
2018-01-16,88.95,89.695,88.07,88.095,84.148,236527200
2018-01-17,88.075,89.625,87.535,89.55,85.538,275094400
2018-01-18,89.685,90.05,89.125,89.63,85.615,249547200
2018-01-19,89.305,89.79,88.705,89.23,85.233,259400800
2018-01-22,88.65,88.89,88.3,88.5,84.535,216868800
2018-01-23,88.65,89.72,88.41,88.52,84.554,261512800
2018-01-24,88.625,88.65,86.6,87.11,83.208,408840800
2018-01-25,87.255,87.475,85.265,85.555,81.722,332232000
2018-01-26,86.0,86.0,85.03,85.755,81.913,313144000
2018-01-29,85.08,85.08,83.535,83.98,80.218,405123200
2018-01-30,82.765,83.685,82.35,83.485,79.745,368385600
2018-01-31,83.435,84.22,83.25,83.715,79.965,259831200
2018-02-01,83.585,84.31,83.38,83.89,80.132,377846400
2018-02-02,83.0,83.4,80.05,80.25,76.655,692750400
2018-02-05,79.55,81.94,78.0,78.245,74.74,581908000
2018-02-06,77.415,81.86,77.0,81.515,77.863,545950400
2018-02-07,81.545,81.7,79.535,79.77,76.196,412868800
2018-02-08,80.145,80.5,77.515,77.575,74.1,435124000
2018-02-09,78.535,78.945,75.12,78.205,75.006,565380800
2018-02-12,79.25,81.945,78.755,81.355,78.027,486556000
2018-02-13,80.975,82.375,80.825,82.17,78.809,260393600
2018-02-14,81.52,83.77,81.44,83.685,80.262,325159200
2018-02-15,84.895,86.545,84.5,86.495,82.957,409177600
2018-02-16,86.18,87.41,85.885,86.215,82.688,321408800
2018-02-20,86.025,87.13,85.71,85.925,82.41,271444000
2018-02-21,86.415,87.06,85.505,85.535,82.036,299772800
2018-02-22,85.9,86.975,85.855,86.25,82.722,247935200
2018-02-23,86.835,87.825,86.77,87.75,84.161,270499200
2018-02-26,88.175,89.695,88.105,89.485,85.825,305297600
2018-02-27,89.55,90.24,89.08,89.195,85.547,311424800
2018-02-28,89.63,90.31,89.025,89.06,85.417,302256800
2018-03-01,89.27,89.89,86.33,87.5,83.921,390416000
2018-03-02,86.4,88.15,86.225,88.105,84.501,307632000
2018-03-05,87.605,88.87,87.26,88.41,84.794,227211200
2018-03-06,88.955,89.125,88.065,88.335,84.722,190308000
2018-03-07,87.47,87.925,87.135,87.515,83.935,253628000
2018-03-08,87.74,88.56,87.535,88.47,84.851,190192800
2018-03-09,88.98,90.0,88.695,89.99,86.309,257481600
2018-03-12,90.145,91.195,90.105,90.86,87.143,257656800
2018-03-13,91.295,91.75,89.62,89.985,86.304,253548000
2018-03-14,90.16,90.26,88.905,89.22,85.571,234947200
2018-03-15,89.25,90.12,89.035,89.325,85.671,181950400
2018-03-16,89.325,89.56,88.81,89.01,85.369,315237600
2018-03-19,88.66,88.735,86.83,87.65,84.065,267574400
2018-03-20,87.62,88.4,87.47,87.62,84.036,157195200
2018-03-21,87.52,87.545,85.63,85.635,82.132,296439200
2018-03-22,85.0,86.34,84.3,84.425,80.972,331926400
2018-03-23,84.195,84.96,82.47,82.47,79.097,328230400
2018-03-26,84.035,86.55,83.22,86.385,82.852,300329600
2018-03-27,86.84,87.575,83.46,84.17,80.727,327380800
2018-03-28,83.625,85.01,82.595,83.24,79.835,333348000
